"","SMILES","half_life_formatted"
"677","O=C(Cl)c1cccc(C(=O)Cl)c1","0.00039 day"
"678","O=C(Cl)c1cccc(C(F)(F)F)c1","0.00024 day"
"679","O=C(Cl)c1cccc(Cl)c1","0.00014 day"
"680","O=C(Cl)c1ccccc1","9.6e-05 day"
"681","O=C(F)c1ccc([N+](=O)[O-])cc1","0.00016 day"
"682","O=C(F)c1cccc(Cl)c1","0.00089 day"
"683","O=C(F)c1ccccc1","0.0045 day"
"684","O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F","> 1 year"
"685","O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)c(Cl)c1F","> 1 year"
"686","O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl","> 1 year"
"687","O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1","0.83 day"
"688","O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1","> 1 year"
"689","O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F","170 days"
"690","O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1","> 1 year"
"691","O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl","> 1 year"
"692","O=C(Nc1ccc(Cc2ccc(NC(=O)[NH+]3CC3)cc2)cc1)[NH+]1CC1","0.21 day"
"693","O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1","> 1 year"
"694","O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1","> 1 year"
"695","O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1","> 1 year"
"696","O=C(Nc1ccccc1)[NH+](Cc1ccc(Cl)cc1)C1CCCC1","120 days"
"697","O=C(OC(=O)c1ccccc1)c1ccccc1","0.019 day"
"698","O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)c(C(=O)OCC2CO2)c1","2.4 days"
"699","O=C(OCC1CO1)c1ccc(C(=O)OCC2CO2)cc1","2.8 days"
"700","O=C(OCCc1ccccc1)c1ccccc1","38 days"
"701","O=C(OCc1ccc(Cl)cc1)C(F)(F)F","0.00043 day"
"702","O=C(OCc1ccc([N+](=O)[O-])cc1)C(F)(F)F","0.00018 day"
"703","O=C(OCc1ccccc1)C(F)(F)F","0.00058 day"
"704","O=C([NH2+]CCCCCC[NH2+]C(=O)S(=O)(=O)[O-])S(=O)(=O)[O-]","0.15 day"
"705","O=C([O-])C1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc1","3.3 days"
"706","O=C([O-])CBr","150 days"
"707","O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1","0.071 day"
"708","O=C([O-])CF","> 1 year"
"709","O=C([O-])c1ccc[n+](-c2nc(NCCNc3ccc4c(c3S(=O)(=O)[O-])Oc3c(Cl)c5c(c(Cl)c3=N4)Oc3c(ccc(NCCNc4nc(Nc6cc(S(=O)(=O)[O-])ccc6S(=O)(=O)[O-])nc(-[n+]6cccc(C(=O)[O-])c6)n4)c3S(=O)(=O)[O-])N=5)nc(Nc3cc(S(=O)(=O)[O-])ccc3S(=O)(=O)[O-])n2)c1","100 days"
"710","O=C([O-])c1ccccc1C(=O)Nc1cccc2ccccc12","> 1 year"
"711","O=C([O-])c1ccccc1N1C(=O)c2ccccc2C1=O","0.8 day"
"712","O=C([O-])c1ccccc1SSc1ccccc1C(=O)[O-]","170 days"
"713","O=C([O-])c1nc(Cl)ccc1Cl","> 1 year"
"714","O=C1C2CC=CCC2C(=O)[NH+]1SC(Cl)(Cl)Cl","0.3 day"
"715","O=C1C=CC(=O)N1c1cccc(N2C(=O)C=CC2=O)c1","0.05 day"
"716","O=C1C=CC(=O)N1c1ccccc1","0.083 day"
"717","O=C1C=CC(=O)O1","0.00024 day"
"718","O=C1C=CC(=O)c2ccccc21","12 days"
"719","O=C1C=CC=C2C(=O)C([NH2+]Nc3cc(S(=O)(=O)[O-])ccc3O)=CC=C12","320 days"
"720","O=C1CCC(=O)O1","0.003 day"
"721","O=C1CCC2CCCCC2O1","17 days"
"722","O=C1CCCC(=O)O1","0.003 day"
"723","O=C1CCCCCN1","6.4 days"
"724","O=C1CCCCN1","2 days"
"725","O=C1CCCN1","8 days"
"726","O=C1CCN(c2ccccc2)[N-]1","38 days"
"727","O=C1CCN1","0.0072 day"
"728","O=C1CCO1","3.4 days"
"729","O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)[N-]1","120 days"
"730","O=C1Cc2ccccc2O1","0.38 day"
"731","O=C1OC(=O)C2CC=CCC12","0.0028 day"
"732","O=C1OC(=O)c2ccccc21","0.001 day"
"733","O=C1OC(C(O)CO)C([O-])=C1OP(=O)([O-])[O-]","> 1 year"
"734","O=C1c2ccccc2C(=O)[NH+]1SC(Cl)(Cl)Cl","0.041 day"
"735","O=C1c2ccccc2C(=O)[NH+]1SC1CCCCC1","0.97 day"
"736","O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1","0.00013 day"
"737","O=CCl","1.2e-08 day"
"738","O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl","> 1 year"
"739","O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr","> 1 year"
"740","O=P(OCC(Cl)(Cl)Cl)(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl","16 days"
"741","O=P(OCC(Cl)CCl)(OCC(Cl)CCl)OCC(Cl)CCl","> 1 year"
"742","O=P(OCCCl)(OCCCl)OCCCl","> 1 year"
"743","O=P([O-])(O)CCCl","0.25 day"
"744","O=P1([NH+](CCCl)CCCl)[NH2+]CCCO1","41 days"
"745","O=S(=O)(CCOS(=O)(=O)[O-])CCN(c1ccccc1)c1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)[O-])cc5)cc4S(=O)(=O)[O-])c(S(=O)(=O)[O-])cc3c2S(=O)(=O)[O-])n1","3.2 days"
"746","O=S(=O)(Cl)c1cc(Cl)c(Cl)cc1Cl","0.011 day"
"747","O=S(=O)(Cl)c1ccc(Br)cc1","0.0038 day"
"748","O=S(=O)(Cl)c1ccc(Cl)c(Cl)c1","0.0054 day"
"749","O=S(=O)(Cl)c1ccc(Cl)c(Cl)c1Cl","0.012 day"
"750","O=S(=O)(Cl)c1ccc(Cl)cc1","0.004 day"
"751","O=S(=O)(Cl)c1ccc(F)cc1","0.0047 day"
"752","O=S(=O)(Cl)c1ccc(I)cc1","0.0036 day"
"753","O=S(=O)(Cl)c1ccc2ccccc2c1","0.0028 day"
"754","O=S(=O)(Cl)c1cccc(Br)c1","0.0042 day"
"755","O=S(=O)(Cl)c1cccc(Cl)c1","0.0048 day"
"756","O=S(=O)(Cl)c1cccc(I)c1","0.0047 day"
"757","O=S(=O)(Cl)c1cccc(O)c1","0.0032 day"
"758","O=S(=O)(Cl)c1ccccc1","0.0027 day"
"759","O=S(=O)([O-])CC(O)CCl","35 days"
"760","O=S(=O)([O-])OCCS(=O)(=O)c1ccc(N=Nc2c(S(=O)(=O)[O-])cc3cc(Nc4nc(Cl)nc(Cl)n4)ccc3c2O)cc1","4.3 days"
"761","O=S(=O)([O-])OCCS(=O)(=O)c1ccc(Nc2nc(Cl)nc(Nc3cc(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])c(N=Nc5ccc6c(S(=O)(=O)[O-])cccc6c5S(=O)(=O)[O-])c(O)c34)n2)cc1","9.6 days"
"762","O=S(=O)([O-])c1cc(Cl)c(Cl)cc1Cl","> 1 year"
"763","O=S1(=O)C=CCO1","3.8 days"
"764","O=S1(=O)CCCO1","0.35 day"
"765","O=S1(=O)CS(=O)(=O)OCO1","0.02 day"
"766","O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl","7 days"
"767","O=[N+]([O-])C1(Br)COCOC1","280 days"
"768","O=[N+]([O-])N=C1[NH2+]CC[NH+]1Cc1ccc(Cl)nc1","> 1 year"
"769","O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]","> 1 year"
"770","O=[N+]([O-])c1cc(Cl)ccc1S(=O)(=O)Cl","0.017 day"
"771","O=[N+]([O-])c1cc(S(=O)(=O)Cl)ccc1Cl","0.0063 day"
"772","O=[N+]([O-])c1ccc(CCl)cc1","7.3 days"
"773","O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)Cl)c1","0.0086 day"
"774","O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1","0.0033 day"
"775","O=[N+]([O-])c1cccc(S(=O)(=O)Cl)c1","0.0063 day"
"776","O=[N+]([O-])c1ccccc1S(=O)(=O)Cl","0.012 day"
"777","O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2","> 1 year"
"778","O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1","0.05 day"
"779","O=c1n(CC(Br)CBr)c(=O)n(CC(Br)CBr)c(=O)n1CC(Br)CBr","0.5 day"
"780","O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1","5.6 days"
"781","O=c1occo1","0.38 day"
"782","OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl","4.1 days"
"783","OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl","> 1 year"
"784","OC1CSC(O)CS1","11 days"
"785","OC1c2cc3ccc4cccc5ccc(c2C2OC2C1O)c3c45","0.0065 day"
"786","OC1c2ccccc2C2OC2C1O","1.2 days"
"787","OCC(Cl)CCl","> 1 year"
"788","OCCCCCCCl","110 days"
"789","OCCCl","> 1 year"
"790","OCCNc1ccc2c(c1)OCO2","20 days"
"791","OCCOCCCl","> 1 year"
"792","Oc1c(Cl)cc(Cl)cc1Cl","> 1 year"
"793","Oc1ccc2c(c1)NCCO2","17 days"
"794","Oc1cccc2cccnc12","> 1 year"
"795","S=C(S[NH+]1CCOCC1)[NH+]1CCOCC1","1.8 days"
"796","S=C([S-])[NH2+]CC[NH2+]C(=S)[S-]","2.5 days"
"797","S=C1[NH2+]CC[NH2+]1","> 1 year"
"798","S=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1","100 days"
"799","SCCOCCOCCS","110 days"
"800","[NH3+]C(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-]","0.19 day"
"801","[NH3+]C([NH3+])=S","> 1 year"
"802","c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1","2.3 days"
"803","c1cc(OCC2CO2)cc(N(CC2CO2)CC2CO2)c1","5 days"
"804","c1cc(OCC2CO2)cc(OCC2CO2)c1","4.9 days"
"805","c1cc[n+]2c(c1)-c1cccc[n+]1CC2","> 1 year"
"806","c1ccc(C2CO2)cc1","0.75 day"
"807","c1ccc(N(CC2CO2)CC2CO2)cc1","3.6 days"
"808","c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1","0.046 day"
"809","c1ccc2sc(S[NH+](C3CCCCC3)C3CCCCC3)nc2c1","2.2 days"
"810","c1ccc2sc(S[NH2+]C3CCCCC3)nc2c1","0.63 day"
