"","SMILES","half_life_formatted"
"134","CC(C)CCC(C)[NH2+]c1ccc(Nc2ccccc2)cc1","0.21 day"
"135","CC(C)CCC(C)[NH2+]c1ccc([NH2+]C(C)CCC(C)C)cc1","0.15 day"
"136","CC(C)CP(=O)(CCCO)CCCO","> 1 year"
"137","CC(C)Cc1ccc(C(C)C(=O)[O-])cc1","> 1 year"
"138","CC(C)I","2 days"
"139","CC(C)OC(=O)C(F)(F)F","0.0023 day"
"140","CC(C)OC(=O)Cl","0.0037 day"
"141","CC(C)OC(=O)Nc1cccc(Cl)c1","> 1 year"
"142","CC(C)OC(=O)OOC(=O)OC(C)C","0.13 day"
"143","CC(C)OC(=O)OOC(C)(C)C","9 days"
"144","CC(C)OC(=S)[S-]","11 days"
"145","CC(C)OCC1CO1","23 days"
"146","CC(C)OP(=O)(F)OC(C)C","4 days"
"147","CC(C)OP(=O)(OC(C)C)OC(C)C","> 1 year"
"148","CC(C)OP(=O)(OC(C)C)SCc1ccccc1","94 days"
"149","CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1","220 days"
"150","CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl","> 1 year"
"151","CC(C)SC(=O)Cl","6.5e-13 day"
"152","CC(C)[NH+](C(=O)SCC(Cl)=CCl)C(C)C","> 1 year"
"153","CC(C)[NH+](C(C)C)P(OCCC#N)[NH+](C(C)C)C(C)C","3.2 days"
"154","CC(C)c1ccc(NC(=O)[NH+](C)C)cc1","160 days"
"155","CC(C)c1ccc2sc3ccccc3c(=O)c2c1","3.4 days"
"156","CC(C)c1cccc(C(C)C)c1N=C=Nc1c(C(C)C)cccc1C(C)C","11 days"
"157","CC(C)c1cccc(C(C)CC=O)c1","26 days"
"158","CC(CC(=O)OOC(C)(C)C)CC(C)(C)C","2.1 days"
"159","CC(CC(C)C)=N[N-]C(=O)c1cc2ccccc2cc1O","1.2 days"
"160","CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl","> 1 year"
"161","CC(CN=NCC(C)C1=[NH+]CCN1)C1=[NH+]CCN1","7.1 days"
"162","CC(Cl)(Cl)Cl","> 1 year"
"163","CC(Cl)CCl","> 1 year"
"164","CC(Cl)Cl","> 1 year"
"165","CC(N)=O","> 1 year"
"166","CC(O)CNS(=O)(=O)CCCS(=O)(=O)c1ccc(C#N)c(C#N)c1","> 1 year"
"167","CC(O)COC(=O)OC1CC(C)CCC1C(C)C","140 days"
"168","CC(O)C[NH+](CC(C)O)C(=O)c1ccccc1","> 1 year"
"169","CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-]","> 1 year"
"170","CC([NH3+])=S","340 days"
"171","CC(c1ccccc1)c1ccc(O)cc1O","> 1 year"
"172","CC1(C)C(=O)OC(=O)C1(C)C","0.036 day"
"173","CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1","230 days"
"174","CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1","> 1 year"
"175","CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1","> 1 year"
"176","CC1(C)CO[NH+](Cc2ccccc2Cl)C1=O","> 1 year"
"177","CC1(C)OCC([NH3+])C(O)CO1","320 days"
"178","CC1(C)OCC2OC2CO1","22 days"
"179","CC1(C)SC2C(NC(=O)C([NH3+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-]","27 days"
"180","CC1(CO)CC1CC1CC2CC2(C)C1(C)C","> 1 year"
"181","CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O","2 days"
"182","CC12CC(O)C3C(C4CC5(C#N)C(C(=O)CCC35C)C4=O)C1CCC21CCC(=O)O1","0.19 day"
"183","CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C#N","0.75 day"
"184","CC12CCC3C4=C(CCC3C1CCC2(O)CC#N)CC(=O)CC4","59 days"
"185","CC1=C(C(=O)Nc2ccccc2)SCCO1","360 days"
"186","CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1","12 days"
"187","CC1=CC(=O)[NH+](Cc2cccc(C[NH+]3C(=O)C=C(C)C3=O)c2)C1=O","2.9 days"
"188","CC1=CCC(C(C)C)=CC1","19 days"
"189","CC1C=CCC2C(=O)OC(=O)C12","0.0078 day"
"190","CC1CC(=O)O1","0.015 day"
"191","CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1","9 days"
"192","CC1CCC(C(C)C)C(OC(=O)C(C)O)C1","> 1 year"
"193","CC1CCC(C(C)C)C(OC(=O)OCCO)C1","310 days"
"194","CC1CCC(C(C)C)C(OCC(O)CO)C1","> 1 year"
"195","CC1CCCC[NH+]1CCCOC(=O)c1ccc(Cl)c(Cl)c1","16 days"
"196","CC1CN(c2ccccc2)[N-]C1=O","38 days"
"197","CC1CO1","11 days"
"198","CC1COC(=O)O1","25 days"
"199","CC1COc2ccccc2[NH+]1C(=O)C(Cl)Cl","56 days"
"200","CC1C[NH2+]1","3.6 days"
"201","CC=C(C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O","12 days"
